iter	Passed	Remaining
0	80	80877
1	143	71726
2	231	76873
3	313	78146
4	389	77537
5	480	79617
6	567	80466
7	639	79265
8	727	80105
9	820	81243
10	903	81250
11	995	81946
12	1076	81738
13	1166	82153
14	1265	83130
15	1346	82796
16	1425	82451
17	1520	82957
18	1604	82833
19	1685	82613
20	1780	83020
21	1860	82707
22	1938	82332
23	2028	82483
24	2111	82354
25	2185	81883
26	2278	82123
27	2360	81926
28	2429	81344
29	2510	81187
30	2589	80955
31	2664	80598
32	2752	80650
33	2827	80343
34	2899	79932
35	2973	79627
36	3057	79584
37	3129	79226
38	3212	79162
39	3290	78971
40	3359	78588
41	3462	78967
42	3535	78691
43	3626	78794
44	3697	78465
45	3787	78548
46	3858	78228
47	3929	77934
48	4005	77738
49	4088	77684
50	4161	77437
51	4244	77385
52	4323	77255
53	4395	76997
54	4479	76972
55	4558	76836
56	4626	76533
57	4698	76304
58	4784	76313
59	4855	76067
60	4942	76078
61	5017	75914
62	5089	75696
63	5165	75540
64	5250	75520
65	5320	75297
66	5398	75175
67	5480	75120
68	5551	74905
69	5633	74847
70	5715	74783
71	5788	74605
72	5873	74588
73	5951	74472
74	6021	74270
75	6126	74491
76	6225	74631
77	6297	74434
78	6394	74549
79	6476	74483
80	6551	74330
81	6649	74446
82	6748	74560
83	6821	74386
84	6907	74360
85	6993	74330
86	7066	74162
87	7156	74172
88	7230	74013
89	7302	73832
90	7386	73779
91	7475	73780
92	7549	73629
93	7642	73664
94	7721	73554
95	7800	73453
96	7879	73350
97	7972	73378
98	8042	73195
99	8138	73245
100	8229	73247
101	8302	73097
102	8394	73103
103	8471	72988
104	8545	72837
105	8625	72745
106	8713	72719
107	8794	72638
108	8879	72579
109	8966	72543
110	9042	72420
111	9129	72383
112	9225	72412
113	9317	72415
114	9404	72375
115	9497	72375
116	9589	72369
117	9676	72330
118	9772	72351
119	9856	72278
120	9934	72166
121	10012	72054
122	10097	71999
123	10168	71838
124	10254	71778
125	10336	71700
126	10407	71538
127	10493	71488
128	10572	71386
129	10641	71217
130	10726	71154
131	10806	71061
132	10880	70929
133	10963	70850
134	11047	70789
135	11119	70643
136	11205	70587
137	11284	70486
138	11354	70331
139	11432	70227
140	11511	70131
141	11583	69989
142	11695	70090
143	11774	69989
144	11842	69830
145	11925	69756
146	12007	69674
147	12089	69599
148	12170	69511
149	12258	69463
150	12338	69373
151	12425	69323
152	12522	69323
153	12607	69259
154	12704	69258
155	12786	69179
156	12871	69114
157	12960	69068
158	13044	68994
159	13141	68991
160	13251	69057
161	13382	69226
162	13480	69224
163	13550	69073
164	13635	69002
165	13710	68883
166	13783	68752
167	13871	68695
168	13941	68553
169	14013	68416
170	14102	68366
171	14175	68239
172	14252	68132
173	14327	68016
174	14407	67919
175	14476	67775
176	14556	67684
177	14632	67574
178	14700	67426
179	14771	67290
180	14851	67203
181	14923	67073
182	15001	66975
183	15081	66885
184	15155	66767
185	15240	66695
186	15310	66563
187	15381	66436
188	15462	66350
