iter	RMSE
0	4329.28988
1	4206.227412
2	4095.923327
3	3988.702638
4	3896.983516
5	3807.601376
6	3728.272168
7	3649.051588
8	3580.07834
9	3519.380504
10	3466.071968
11	3413.071944
12	3365.369142
13	3320.417657
14	3279.830801
15	3250.566222
16	3219.796469
17	3192.726142
18	3167.056249
19	3145.294049
20	3125.000617
21	3103.807562
22	3089.612451
23	3070.997386
24	3055.159799
25	3042.436535
26	3029.007898
27	3018.550261
28	3010.108149
29	2998.914759
30	2989.282507
31	2981.569301
32	2975.726205
33	2969.968636
34	2964.596585
35	2958.434219
36	2951.786351
37	2949.048189
38	2945.025531
39	2940.276077
40	2936.257788
41	2932.792467
42	2930.001826
43	2927.40196
44	2925.148187
45	2924.230821
46	2920.227067
47	2919.735791
48	2918.971674
49	2917.203761
50	2914.803669
51	2912.892504
52	2911.703601
53	2909.441799
54	2908.498892
55	2906.103218
56	2905.018576
57	2903.615441
58	2901.656737
59	2899.097284
60	2897.310867
61	2896.312593
62	2894.932061
63	2894.108702
64	2893.167687
65	2892.603972
66	2890.787302
67	2889.502863
68	2888.09434
69	2886.633384
70	2885.478853
71	2884.308877
72	2883.468621
73	2882.132137
74	2881.093605
75	2881.082942
76	2880.149439
77	2878.650214
78	2878.650214
79	2876.432698
80	2876.030768
81	2875.340971
82	2875.233107
83	2874.127326
84	2874.127324
85	2874.09032
86	2873.239862
87	2872.514918
88	2870.783089
89	2869.952722
90	2868.511656
91	2868.314506
92	2867.268466
93	2866.348633
94	2865.050494
95	2864.012428
96	2862.869545
97	2862.287935
98	2861.287991
99	2860.229823
100	2858.010301
101	2857.266464
102	2857.266461
103	2856.601963
104	2855.610017
105	2854.633839
106	2854.318484
107	2853.59583
108	2853.378242
109	2851.630987
110	2851.20323
111	2848.980108
112	2847.832615
113	2846.867757
114	2846.088003
115	2845.061573
116	2844.57731
117	2843.582481
118	2843.043105
119	2841.788811
120	2841.3253
121	2841.201945
122	2840.655752
123	2839.856524
124	2839.406023
125	2838.622185
126	2838.622185
127	2838.578706
128	2838.212082
129	2837.648581
130	2836.490327
131	2834.757326
132	2832.031594
133	2830.544088
134	2829.214226
135	2828.297726
136	2827.869579
137	2827.382962
138	2826.969629
139	2824.690703
140	2821.879778
141	2821.252689
142	2819.699707
143	2819.078066
144	2817.241411
145	2816.376764
146	2815.940861
147	2815.693947
148	2814.808136
149	2814.145097
150	2813.438718
151	2813.11799
152	2811.0132
153	2810.113976
154	2808.671694
155	2807.24835
156	2806.10052
157	2805.042233
158	2803.750532
159	2803.434636
160	2802.32105
161	2800.302804
162	2799.112264
163	2798.505048
164	2797.65807
165	2796.912731
166	2794.868601
167	2793.798394
