iter	Passed	Remaining
0	245	245526
1	282	140973
2	317	105357
3	344	85686
4	374	74526
5	394	65419
6	425	60373
7	470	58387
8	598	65922
9	680	67378
10	772	69453
11	813	67005
12	853	64787
13	894	62995
14	948	62253
15	972	59839
16	1005	58127
17	1029	56187
18	1048	54126
19	1064	52180
20	1093	50961
21	1121	49873
22	1150	48861
23	1181	48045
24	1211	47253
25	1234	46234
26	1261	45459
27	1294	44928
28	1335	44722
29	1372	44367
30	1398	43721
31	1424	43105
32	1443	42296
33	1473	41870
34	1504	41492
35	1541	41274
36	1575	41009
37	1595	40381
38	1631	40208
39	1666	40001
40	1691	39574
41	1715	39138
42	1744	38819
43	1774	38551
44	1805	38310
45	1815	37655
46	1854	37606
47	1863	36957
48	1883	36557
49	1913	36347
50	1943	36163
51	1963	35794
52	1995	35663
53	2042	35781
54	2075	35667
55	2109	35561
56	2149	35557
57	2181	35425
58	2223	35456
59	2267	35527
60	2301	35421
61	2330	35252
62	2359	35087
63	2398	35077
64	2439	35092
65	2453	34726
66	2484	34593
67	2518	34514
68	2548	34392
69	2573	34197
70	2614	34213
71	2656	34241
72	2690	34169
73	2717	34010
74	2733	33708
75	2736	33275
76	2774	33260
77	2815	33276
78	2824	32928
79	2867	32977
80	2892	32816
81	2921	32702
82	2933	32409
83	2957	32250
84	2960	31872
85	2967	31542
86	3007	31560
87	3039	31499
88	3070	31430
89	3110	31453
90	3139	31360
91	3151	31103
92	3197	31183
93	3243	31261
94	3275	31205
95	3307	31145
96	3332	31020
97	3375	31068
98	3409	31031
99	3442	30980
100	3477	30951
101	3511	30914
102	3515	30617
103	3547	30566
104	3590	30606
105	3626	30587
106	3657	30524
107	3689	30473
108	3722	30428
109	3755	30388
110	3789	30350
111	3826	30336
112	3866	30348
113	3898	30298
114	3929	30241
115	3967	30234
116	4001	30195
117	4035	30164
118	4068	30121
119	4097	30045
120	4138	30066
121	4173	30035
122	4201	29958
123	4243	29979
124	4273	29914
125	4310	29902
126	4319	29691
127	4322	29447
128	4335	29270
129	4358	29170
130	4375	29023
131	4403	28953
132	4437	28927
133	4459	28819
134	4499	28832
135	4520	28717
136	4554	28688
137	4584	28636
138	4607	28541
139	4639	28502
140	4678	28504
141	4714	28489
142	4742	28419
143	4774	28380
144	4809	28361
145	4850	28370
146	4878	28307
147	4913	28284
148	4931	28168
149	4962	28122
150	4983	28022
151	5011	27961
152	5046	27936
153	5088	27951
154	5119	27910
155	5149	27859
156	5173	27776
157	5204	27734
158	5237	27703
159	5285	27747
160	5324	27745
161	5359	27724
162	5394	27702
163	5430	27681
164	5471	27687
165	5502	27645
166	5536	27615
167	5572	27597
168	5604	27556
169	5642	27549
170	5681	27543
171	5720	27536
172	5751	27495
173	5783	27454
174	5812	27402
175	5851	27395
176	5877	27329
177	5922	27348
178	5952	27302
179	5988	27282
180	6009	27192
181	6026	27083
182	6053	27026
183	6097	27040
184	6154	27113
185	6189	27088
186	6244	27148
187	6299	27210
188	6344	27225
189	6371	27163
190	6407	27140
191	6435	27080
192	6473	27066
193	6519	27084
194	6556	27067
195	6591	27039
196	6628	27020
197	6668	27009
198	6699	26967
199	6726	26905
200	6762	26883
201	6796	26847
202	6834	26834
203	6872	26815
204	6907	26787
205	6939	26749
206	6971	26705
207	7001	26659
208	7036	26631
209	7078	26630
210	7108	26579
211	7148	26569
212	7191	26569
213	7227	26545
214	7256	26494
215	7284	26441
216	7321	26417
217	7351	26371
218	7366	26270
219	7403	26248
220	7448	26254
221	7483	26225
222	7506	26153
223	7542	26129
224	7568	26070
225	7606	26051
226	7636	26003
227	7669	25969
228	7703	25936
229	7736	25900
230	7772	25873
231	7808	25847
232	7828	25768
233	7857	25721
234	7887	25675
235	7905	25590
236	7940	25563
237	7968	25511
238	7990	25443
239	8035	25446
240	8070	25417
241	8102	25380
242	8139	25355
243	8169	25310
244	8221	25336
245	8263	25327
246	8322	25370
247	8377	25402
248	8413	25375
249	8442	25326
250	8478	25301
251	8513	25269
252	8534	25199
253	8551	25114
254	8588	25091
255	8626	25070
256	8663	25045
257	8695	25007
258	8717	24939
259	8765	24948
260	8817	24966
261	8853	24939
262	8887	24905
263	8930	24897
264	8963	24860
265	8994	24819
266	9024	24773
267	9057	24739
268	9086	24692
269	9119	24656
270	9150	24616
271	9185	24585
272	9216	24544
273	9256	24526
274	9270	24440
275	9300	24397
276	9349	24404
277	9406	24429
278	9449	24420
279	9480	24379
280	9535	24399
281	9577	24385
282	9617	24367
283	9657	24348
284	9692	24316
285	9717	24258
286	9750	24224
287	9777	24171
288	9816	24149
289	9840	24091
290	9875	24061
291	9912	24033
292	9940	23986
293	9973	23949
294	10013	23931
295	10031	23859
296	10064	23822
297	10094	23780
298	10130	23751
299	10160	23707
300	10194	23674
301	10228	23641
302	10256	23592
303	10289	23558
304	10322	23522
305	10361	23500
306	10400	23478
307	10435	23445
308	10468	23409
309	10498	23366
310	10531	23331
311	10575	23321
312	10611	23290
313	10645	23256
314	10662	23186
315	10695	23151
316	10729	23118
317	10771	23100
318	10806	23069
319	10841	23038
320	10867	22988
321	10901	22955
322	10947	22946
323	10984	22918
324	11022	22893
325	11057	22861
326	11093	22831
327	11113	22769
328	11160	22762
329	11193	22727
330	11231	22701
331	11267	22670
332	11307	22648
333	11346	22624
334	11381	22592
335	11406	22541
336	11426	22479
337	11459	22444
338	11497	22417
339	11531	22384
340	11567	22354
341	11603	22324
342	11631	22279
343	11657	22230
344	11693	22201
345	11731	22174
346	11765	22139
347	11798	22105
348	11828	22064
349	11863	22031
350	11903	22010
351	11939	21979
352	11976	21951
353	12010	21917
354	12045	21886
355	12085	21863
356	12115	21821
357	12148	21786
358	12182	21752
359	12211	21709
360	12246	21677
361	12289	21659
362	12315	21611
363	12343	21568
364	12378	21535
365	12415	21505
366	12436	21449
367	12465	21407
368	12481	21342
369	12511	21302
370	12545	21270
371	12571	21223
372	12600	21180
373	12633	21145
374	12664	21107
375	12687	21056
376	12719	21019
377	12752	20984
378	12786	20950
379	12803	20890
380	12845	20870
381	12882	20840
382	12892	20770
383	12921	20727
384	12955	20695
385	12989	20662
386	13031	20640
387	13068	20612
388	13102	20579
389	13116	20516
390	13150	20482
391	13161	20414
392	13188	20369
393	13226	20343
394	13258	20307
395	13269	20239
396	13305	20209
397	13339	20177
398	13371	20141
399	13417	20125
400	13452	20095
401	13483	20057
402	13517	20025
403	13553	19994
404	13598	19977
405	13635	19949
406	13668	19915
407	13699	19877
408	13732	19843
409	13766	19810
410	13805	19785
411	13842	19755
412	13878	19725
413	13915	19696
414	13955	19671
415	14001	19656
416	14039	19627
417	14080	19604
418	14135	19601
419	14191	19597
420	14224	19563
421	14311	19602
422	14358	19586
423	14403	19567
424	14433	19527
425	14471	19499
426	14499	19457
427	14540	19432
428	14585	19413
429	14623	19385
430	14664	19359
431	14703	19332
432	14752	19317
433	14785	19282
434	14804	19228
435	14835	19190
436	14871	19159
437	14907	19128
438	14941	19093
439	14956	19034
440	14988	18999
441	15022	18964
442	15044	18916
443	15094	18901
444	15130	18870
445	15163	18835
446	15195	18799
447	15230	18766
448	15264	18732
449	15302	18702
450	15341	18674
451	15389	18657
452	15443	18648
453	15487	18625
454	15543	18618
455	15582	18589
456	15611	18549
457	15648	18518
458	15686	18488
459	15718	18452
460	15754	18420
461	15783	18380
462	15818	18346
463	15855	18315
464	15885	18277
465	15920	18244
466	15955	18210
467	15990	18177
468	16023	18141
469	16062	18113
470	16102	18085
471	16139	18054
472	16171	18017
473	16205	17983
474	16236	17945
475	16274	17915
476	16306	17879
477	16346	17850
478	16376	17812
479	16412	17780
480	16446	17745
481	16486	17718
482	16516	17679
483	16549	17643
484	16578	17604
485	16612	17569
486	16640	17529
487	16677	17497
488	16713	17465
489	16746	17430
490	16775	17390
491	16804	17351
492	16840	17319
493	16883	17293
494	16914	17256
495	16948	17222
496	16978	17183
497	17004	17141
498	17038	17107
499	17081	17081
500	17113	17045
501	17148	17011
502	17181	16976
503	17217	16943
504	17254	16912
505	17295	16885
506	17330	16852
507	17364	16817
508	17399	16784
509	17432	16749
510	17479	16727
511	17513	16692
512	17548	16659
513	17572	16615
514	17605	16580
515	17640	16546
516	17681	16518
517	17719	16487
518	17754	16454
519	17789	16420
520	17826	16389
521	17862	16356
522	17900	16325
523	17927	16285
524	17958	16248
525	17987	16209
526	18020	16173
527	18058	16142
528	18094	16110
529	18113	16063
530	18148	16029
531	18179	15992
532	18218	15962
533	18258	15933
534	18297	15903
535	18329	15867
536	18363	15832
537	18400	15800
538	18441	15773
539	18469	15733
540	18491	15688
541	18525	15654
542	18558	15619
543	18596	15587
544	18629	15553
545	18664	15519
546	18703	15488
547	18756	15470
548	18803	15446
549	18855	15427
550	18912	15411
551	18974	15399
552	19012	15368
553	19047	15333
554	19086	15303
555	19122	15270
556	19151	15232
557	19185	15197
558	19229	15170
559	19266	15138
560	19301	15104
561	19329	15064
562	19358	15025
563	19395	14993
564	19419	14951
565	19451	14914
566	19482	14878
567	19541	14862
568	19619	14860
569	19672	14840
570	19727	14821
571	19758	14784
572	19786	14744
573	19826	14714
574	19854	14674
575	19880	14634
576	19919	14603
577	19945	14562
578	19981	14528
579	20017	14495
580	20060	14467
581	20096	14433
582	20130	14398
583	20164	14364
584	20197	14328
585	20240	14299
586	20276	14266
587	20306	14228
588	20340	14193
589	20375	14158
590	20419	14131
591	20458	14099
592	20488	14062
593	20526	14029
594	20562	13996
595	20601	13965
596	20646	13937
597	20679	13901
598	20711	13865
599	20748	13832
600	20790	13802
601	20833	13773
602	20868	13739
603	20888	13694
604	20925	13661
605	20967	13632
606	21010	13602
607	21040	13565
608	21078	13533
609	21115	13500
610	21159	13471
611	21194	13437
612	21229	13402
613	21265	13369
614	21298	13332
615	21333	13298
616	21377	13270
617	21406	13231
618	21440	13196
619	21476	13163
620	21514	13130
621	21556	13099
622	21594	13067
623	21631	13034
624	21671	13002
625	21711	12971
626	21756	12942
627	21789	12907
628	21828	12874
629	21864	12841
630	21900	12807
631	21943	12777
632	21968	12736
633	21990	12694
634	22028	12661
635	22056	12623
636	22087	12586
637	22132	12557
638	22164	12521
639	22198	12486
640	22239	12455
641	22270	12418
642	22307	12385
643	22340	12349
644	22364	12309
645	22388	12268
646	22420	12232
647	22453	12196
648	22485	12160
649	22527	12130
650	22564	12096
651	22599	12062
652	22634	12027
653	22671	11994
654	22718	11966
655	22758	11934
656	22785	11895
657	22822	11861
658	22848	11823
659	22885	11789
660	22929	11759
661	22952	11718
662	22988	11684
663	23027	11652
664	23063	11618
665	23108	11589
666	23147	11556
667	23182	11522
668	23211	11484
669	23250	11451
670	23298	11423
671	23333	11388
672	23370	11355
673	23402	11319
674	23426	11279
675	23467	11247
676	23505	11214
677	23540	11180
678	23573	11144
679	23609	11110
680	23648	11077
681	23690	11046
682	23712	11005
683	23750	10972
684	23779	10935
685	23813	10900
686	23855	10868
687	23883	10830
688	23925	10799
689	23958	10763
690	23988	10727
691	24025	10693
692	24064	10660
693	24104	10628
694	24140	10593
695	24174	10559
696	24203	10521
697	24238	10487
698	24285	10457
699	24324	10424
700	24360	10390
701	24394	10355
702	24435	10323
703	24479	10292
704	24516	10258
705	24552	10224
706	24596	10193
707	24623	10155
708	24663	10122
709	24707	10091
710	24747	10059
711	24777	10022
712	24808	9986
713	24848	9953
714	24884	9918
715	24918	9883
716	24952	9848
717	24978	9810
718	25013	9775
719	25051	9742
720	25094	9710
721	25131	9676
722	25166	9642
723	25202	9607
724	25245	9575
725	25279	9540
726	25311	9505
727	25344	9469
728	25385	9436
729	25435	9407
730	25469	9372
731	25505	9338
732	25541	9303
733	25570	9266
734	25588	9225
735	25630	9193
736	25664	9158
737	25697	9122
738	25735	9089
739	25768	9053
740	25808	9020
741	25849	8988
742	25885	8953
743	25921	8919
744	25956	8884
745	25997	8851
746	26017	8811
747	26043	8774
748	26081	8740
749	26116	8705
750	26153	8671
751	26191	8637
752	26229	8603
753	26265	8569
754	26299	8534
755	26332	8498
756	26377	8467
757	26411	8432
758	26445	8397
759	26477	8361
760	26512	8326
761	26550	8292
762	26595	8260
763	26638	8228
764	26669	8192
765	26704	8157
766	26743	8124
767	26790	8092
768	26831	8059
769	26865	8024
770	26901	7990
771	26942	7957
772	26978	7922
773	27023	7890
774	27055	7854
775	27088	7819
776	27122	7784
777	27160	7750
778	27198	7716
779	27233	7681
780	27247	7640
781	27288	7607
782	27321	7571
783	27362	7538
784	27402	7505
785	27436	7469
786	27460	7432
787	27496	7397
